pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
s0.5---h6	17	20	21	17	7	4	2	0	1	0	0	0	0
s0.5---h7	25	71	54	22	11	11	5	0	2	1	0	0	0
s0.5---h8	35	74	46	31	12	8	4	3	2	0	2	1	0
s0.5---h9	14	27	18	8	7	3	1	1	1	0	0	0	0
s0.5---l0.5	19	39	19	5	1	0	0	0	0	0	0	0	0
s0.5---l1	9	16	11	4	0	0	0	0	0	0	0	0	0
s0.5---l10	2	0	0	0	0	0	0	0	0	0	0	0	0
s0.5---l12	1	2	3	0	0	0	0	0	0	0	0	0	0
s0.5---l2	3	11	10	1	0	1	0	0	0	0	0	0	0
s0.5---l3	14	22	8	2	1	0	0	0	0	0	0	0	0
s0.5---l4	15	18	10	1	0	0	0	0	0	0	0	0	0
s0.5---l5	9	5	5	1	0	0	0	0	0	0	0	0	0
s0.5---l7	0	1	2	0	0	0	0	0	0	0	0	0	0
s0.5---w0.5	66	90	68	36	16	8	2	1	1	0	0	0	0
s0.5---w1	7	15	14	16	8	7	2	1	2	0	0	0	0
s0.5---w11	4	5	5	3	4	0	0	0	0	0	0	0	0
s0.5---w2	20	37	32	16	12	6	2	1	1	0	0	0	0
s0.5---w3	54	63	55	32	32	7	6	4	0	0	1	0	0
s0.5---w4	24	55	42	15	5	1	1	1	0	0	0	0	0
s0.5---w5	43	56	54	30	19	9	1	0	0	0	3	0	0
s0.5---w6	17	19	17	12	5	3	4	3	0	0	0	0	0
s0.5---w7	12	26	22	23	4	6	1	3	1	0	0	0	0
s0.5---w8	2	12	3	1	4	2	0	0	1	1	0	0	0
s1---e1	9	7	8	1	0	0	0	0	0	0	0	0	0
s1---e4	11	30	9	0	0	0	0	0	0	0	0	0	0
s1---h10	0	1	0	0	0	0	0	0	0	0	0	0	0
s1---h2	8	32	20	6	0	0	1	0	0	0	0	0	0
s1---h3	5	10	8	8	0	0	1	0	0	0	0	0	0
s1---h5	8	7	7	4	0	0	0	0	0	0	0	0	0
s1---h6	1	8	4	2	1	0	0	0	0	0	0	0	0
s1---h7	12	14	12	3	3	0	0	0	0	0	0	0	0
s1---h8	7	20	9	0	1	0	0	0	0	0	0	0	0
s1---h9	4	8	4	1	1	0	1	0	0	0	0	0	0
s1---l0.5	1	3	3	0	0	0	0	0	0	0	0	0	0
s1---l2	1	1	2	0	0	0	0	0	0	0	0	0	0
s1---l3	11	13	6	0	0	0	0	0	0	0	0	0	0
s1---l4	6	11	9	1	1	0	0	0	0	0	0	0	0
s1---w0.5	17	37	23	12	7	7	2	1	0	1	0	0	0
s1---w1	29	51	32	10	11	2	0	1	0	1	0	0	0
s1---w2	7	10	7	4	1	2	2	2	0	0	0	0	0
s1---w3	15	21	18	18	10	4	5	2	0	0	0	0	0
s1---w4	19	27	17	11	4	2	2	1	0	3	0	0	0
s1---w5	4	5	3	5	1	2	0	0	0	0	0	0	0
s1---w6	8	10	15	9	3	1	0	1	2	0	1	0	0
s1---w7	8	21	10	6	2	0	0	0	0	0	0	0	0
s2---e1	16	22	9	1	0	1	0	0	0	0	0	0	0
s2---h6	1	3	2	0	0	0	0	0	0	0	0	0	0
s2---h7	3	3	1	0	0	0	0	0	0	0	0	0	0
s2---h8	1	5	0	0	0	0	0	0	0	0	0	0	0
s2---h9	1	1	1	0	0	0	0	0	0	0	0	0	0
s2---l0.5	3	5	0	0	0	0	0	0	0	0	0	0	0
s2---l1	6	7	1	0	0	0	0	0	0	0	0	0	0
